City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chokurdakh,RU,2021-12-02 14:12:30,70.6333,147.9167,-41.62,100,65,4.74
68,Uray,RU,2021-12-02 14:12:30,60.1247,64.7758,24.21,94,100,7.56
69,Bredasdorp,ZA,2021-12-02 14:12:30,-34.5322,20.0403,64.27,54,77,10.94
70,Castro,BR,2021-12-02 14:12:31,-24.7911,-50.0119,77.92,51,77,1.77
71,Sao Joao Da Barra,BR,2021-12-02 14:12:31,-21.6403,-41.0511,82.49,73,20,13.47
72,Faanui,PF,2021-12-02 14:12:31,-16.4833,-151.75,80.29,74,48,18.21
73,Avarua,CK,2021-12-02 14:12:31,-21.2078,-159.775,75.25,94,75,16.11
74,Albany,US,2021-12-02 14:09:05,42.6001,-73.9662,48.15,92,100,1.01
75,Jaciara,BR,2021-12-02 14:11:21,-15.9653,-54.9683,88.95,55,65,3.42
76,Mgandu,TZ,2021-12-02 14:12:32,-5.95,34.1333,85.42,21,78,11.9
77,Penzance,GB,2021-12-02 14:12:32,50.1186,-5.5371,48.27,66,40,18.41
78,San Patricio,US,2021-12-02 14:12:32,28.017,-97.5169,67.86,95,39,1.88
79,Owando,CG,2021-12-02 14:12:32,-0.4819,15.8999,87.28,52,100,3.0
80,Hornepayne,CA,2021-12-02 14:12:33,49.2138,-84.7705,16.93,90,100,13.62
81,Areia Branca,BR,2021-12-02 14:12:33,-4.9561,-37.1369,89.44,51,31,13.91
82,Meulaboh,ID,2021-12-02 14:12:33,4.1363,96.1285,77.72,88,100,5.75
83,Ilulissat,GL,2021-12-02 14:12:33,69.2167,-51.1,23.2,96,100,14.52
84,Salalah,OM,2021-12-02 14:12:34,17.0151,54.0924,80.69,57,20,4.61
85,Lopatino,RU,2021-12-02 14:12:34,52.6195,45.8118,27.41,68,57,11.88
86,Hamilton,US,2021-12-02 14:12:34,39.1834,-84.5333,53.42,85,1,4.0
87,Tasiilaq,GL,2021-12-02 14:12:34,65.6145,-37.6368,14.65,91,73,10.51
88,Los Llanos De Aridane,ES,2021-12-02 14:12:35,28.6585,-17.9182,65.95,68,75,14.0
89,Itarema,BR,2021-12-02 14:12:35,-2.9248,-39.9167,89.55,53,100,15.28
90,Cayenne,GF,2021-12-02 14:12:35,4.9333,-52.3333,84.09,80,75,3.0
91,Nyurba,RU,2021-12-02 14:12:35,63.2842,118.3319,-20.88,100,98,3.13
92,Isangel,VU,2021-12-02 14:12:36,-19.55,169.2667,77.13,84,100,9.6
93,Georgetown,MY,2021-12-02 14:12:36,5.4112,100.3354,81.9,85,40,2.3
94,Tuktoyaktuk,CA,2021-12-02 14:12:36,69.4541,-133.0374,-18.54,98,42,10.96
95,Manresa,ES,2021-12-02 14:12:36,41.725,1.8266,57.99,59,0,5.99
96,Saskylakh,RU,2021-12-02 14:12:37,71.9167,114.0833,-39.3,100,92,1.97
97,Klaksvik,FO,2021-12-02 14:12:37,62.2266,-6.589,36.52,62,100,11.99
98,Sinop,TR,2021-12-02 14:12:02,41.7711,34.8709,46.83,62,3,9.71
99,Tual,ID,2021-12-02 14:12:37,-5.6667,132.75,81.88,76,99,9.98
100,Victoria,HK,2021-12-02 14:11:35,22.2855,114.1577,66.33,38,10,1.01
101,Longyearbyen,SJ,2021-12-02 14:12:34,78.2186,15.6401,26.44,68,40,24.16
102,Rocha,UY,2021-12-02 14:12:38,-34.4833,-54.3333,67.1,56,97,7.58
103,Broome,US,2021-12-02 14:12:38,42.2506,-75.833,47.01,83,90,1.99
104,Buraydah,SA,2021-12-02 14:12:38,26.326,43.975,71.29,29,95,10.54
105,Samaipata,BO,2021-12-02 14:12:38,-18.15,-63.8667,59.32,92,100,2.17
106,Doha,QA,2021-12-02 14:09:48,25.2867,51.5333,79.11,69,0,9.22
107,Suntar,RU,2021-12-02 14:12:39,62.1444,117.6319,-13.7,98,99,3.6
108,Iqaluit,CA,2021-12-02 14:12:39,63.7506,-68.5145,20.7,62,98,15.99
109,Labrea,BR,2021-12-02 14:12:39,-7.2586,-64.7981,75.13,97,100,1.88
110,Chapais,CA,2021-12-02 14:12:39,49.7834,-74.8492,22.78,95,100,14.05
111,Rosarito,MX,2021-12-02 14:12:40,32.3333,-117.0333,58.08,85,0,1.92
112,Puerto Ayora,EC,2021-12-02 14:12:40,-0.7393,-90.3518,69.76,81,47,8.86
113,Burbach,DE,2021-12-02 14:12:40,50.75,8.0833,37.89,89,75,12.66
114,Rio Gallegos,AR,2021-12-02 14:12:40,-51.6226,-69.2181,59.05,36,40,26.46
